INFO train.py(98): Training Fusion Model start~
INFO train.py(163): step: 10/4600, loss_total: 4.3502, loss_in: 0.0405, loss_grad: 0.4120, ssim_loss: 0.3533, eta: 1:03:33, time: 8.3089
INFO train.py(163): step: 20/4600, loss_total: 4.5178, loss_in: 0.0920, loss_grad: 0.5032, ssim_loss: 0.3095, eta: 0:43:38, time: 3.1271
INFO train.py(163): step: 30/4600, loss_total: 3.7809, loss_in: 0.0786, loss_grad: 0.4628, ssim_loss: 0.2532, eta: 0:37:50, time: 3.4692
INFO train.py(163): step: 40/4600, loss_total: 4.2721, loss_in: 0.0652, loss_grad: 0.4083, ssim_loss: 0.3212, eta: 0:36:18, time: 4.2012
INFO train.py(163): step: 50/4600, loss_total: 4.7984, loss_in: 0.0796, loss_grad: 0.4147, ssim_loss: 0.3588, eta: 0:35:22, time: 4.2212
INFO train.py(163): step: 60/4600, loss_total: 4.2667, loss_in: 0.0701, loss_grad: 0.4543, ssim_loss: 0.3111, eta: 0:34:42, time: 4.1928
INFO train.py(163): step: 70/4600, loss_total: 4.6461, loss_in: 0.0632, loss_grad: 0.3993, ssim_loss: 0.3614, eta: 0:34:06, time: 4.1107
INFO train.py(163): step: 80/4600, loss_total: 4.1063, loss_in: 0.0372, loss_grad: 0.4506, ssim_loss: 0.3284, eta: 0:33:51, time: 4.3280
INFO train.py(163): step: 90/4600, loss_total: 3.6796, loss_in: 0.0311, loss_grad: 0.4332, ssim_loss: 0.2936, eta: 0:33:29, time: 4.1443
INFO train.py(163): step: 100/4600, loss_total: 4.4505, loss_in: 0.0270, loss_grad: 0.4127, ssim_loss: 0.3768, eta: 0:33:15, time: 4.2389
INFO train.py(163): step: 110/4600, loss_total: 4.8853, loss_in: 0.0299, loss_grad: 0.4379, ssim_loss: 0.4149, eta: 0:33:07, time: 4.3395
INFO train.py(163): step: 120/4600, loss_total: 3.4906, loss_in: 0.0372, loss_grad: 0.5701, ssim_loss: 0.2548, eta: 0:32:55, time: 4.2253
INFO train.py(163): step: 130/4600, loss_total: 3.5255, loss_in: 0.0268, loss_grad: 0.4436, ssim_loss: 0.2814, eta: 0:32:44, time: 4.2121
INFO train.py(163): step: 140/4600, loss_total: 4.0161, loss_in: 0.0281, loss_grad: 0.4288, ssim_loss: 0.3307, eta: 0:32:35, time: 4.2702
INFO train.py(163): step: 150/4600, loss_total: 4.2993, loss_in: 0.0228, loss_grad: 0.4475, ssim_loss: 0.3623, eta: 0:32:25, time: 4.2007
INFO train.py(163): step: 160/4600, loss_total: 3.7223, loss_in: 0.0250, loss_grad: 0.4376, ssim_loss: 0.3034, eta: 0:32:18, time: 4.2709
INFO train.py(163): step: 170/4600, loss_total: 3.0509, loss_in: 0.0203, loss_grad: 0.4419, ssim_loss: 0.2406, eta: 0:32:10, time: 4.2058
INFO train.py(163): step: 180/4600, loss_total: 3.3184, loss_in: 0.0267, loss_grad: 0.4310, ssim_loss: 0.2620, eta: 0:32:04, time: 4.3104
INFO train.py(163): step: 190/4600, loss_total: 3.6986, loss_in: 0.0186, loss_grad: 0.3869, ssim_loss: 0.3126, eta: 0:31:56, time: 4.1850
