INFO train.py(87): Loaded previous best model from: model_last/my_cross/fusion_model.pth
INFO train.py(109): Training Fusion Model start~
INFO train.py(174): step: 10/11500, loss_total: 28.6518, loss_in: 0.0211, loss_grad: 0.2260, ssim_loss: 0.2822, eta: 2:16:24, time: 7.1235
INFO train.py(174): step: 20/11500, loss_total: 32.1175, loss_in: 0.0074, loss_grad: 0.1444, ssim_loss: 0.3190, eta: 1:36:13, time: 2.9356
INFO train.py(174): step: 30/11500, loss_total: 24.6661, loss_in: 0.0332, loss_grad: 0.1571, ssim_loss: 0.2418, eta: 1:23:08, time: 2.9871
INFO train.py(174): step: 40/11500, loss_total: 24.0198, loss_in: 0.0054, loss_grad: 0.1570, ssim_loss: 0.2381, eta: 1:16:47, time: 3.0356
INFO train.py(174): step: 50/11500, loss_total: 28.1064, loss_in: 0.0154, loss_grad: 0.1738, ssim_loss: 0.2778, eta: 1:12:17, time: 2.8586
INFO train.py(174): step: 60/11500, loss_total: 23.1331, loss_in: 0.0117, loss_grad: 0.1238, ssim_loss: 0.2289, eta: 1:09:39, time: 2.9821
INFO train.py(174): step: 70/11500, loss_total: 30.3606, loss_in: 0.0199, loss_grad: 0.2158, ssim_loss: 0.2995, eta: 1:07:32, time: 2.8976
INFO train.py(174): step: 80/11500, loss_total: 27.6571, loss_in: 0.0148, loss_grad: 0.1626, ssim_loss: 0.2735, eta: 1:06:28, time: 3.1189
INFO train.py(174): step: 90/11500, loss_total: 24.6735, loss_in: 0.0173, loss_grad: 0.1397, ssim_loss: 0.2436, eta: 1:05:21, time: 2.9930
INFO train.py(174): step: 100/11500, loss_total: 26.8482, loss_in: 0.0072, loss_grad: 0.1322, ssim_loss: 0.2664, eta: 1:04:22, time: 2.9505
INFO train.py(174): step: 110/11500, loss_total: 29.7755, loss_in: 0.0271, loss_grad: 0.1755, ssim_loss: 0.2933, eta: 1:03:37, time: 2.9869
INFO train.py(174): step: 120/11500, loss_total: 31.1412, loss_in: 0.0103, loss_grad: 0.1708, ssim_loss: 0.3087, eta: 1:02:57, time: 2.9638
INFO train.py(174): step: 130/11500, loss_total: 27.0012, loss_in: 0.0156, loss_grad: 0.1652, ssim_loss: 0.2668, eta: 1:02:31, time: 3.0628
INFO train.py(174): step: 140/11500, loss_total: 24.2442, loss_in: 0.0186, loss_grad: 0.1493, ssim_loss: 0.2391, eta: 1:02:10, time: 3.0730
INFO train.py(174): step: 150/11500, loss_total: 29.9897, loss_in: 0.0196, loss_grad: 0.1536, ssim_loss: 0.2964, eta: 1:01:53, time: 3.1084
INFO train.py(174): step: 160/11500, loss_total: 35.9014, loss_in: 0.0147, loss_grad: 0.1368, ssim_loss: 0.3562, eta: 1:01:37, time: 3.0945
INFO train.py(174): step: 170/11500, loss_total: 22.7598, loss_in: 0.0210, loss_grad: 0.1991, ssim_loss: 0.2235, eta: 1:01:20, time: 3.0544
INFO train.py(174): step: 180/11500, loss_total: 24.4198, loss_in: 0.0178, loss_grad: 0.1430, ssim_loss: 0.2410, eta: 1:01:06, time: 3.0793
INFO train.py(174): step: 190/11500, loss_total: 34.3727, loss_in: 0.0099, loss_grad: 0.1564, ssim_loss: 0.3412, eta: 1:00:51, time: 3.0438
INFO train.py(174): step: 200/11500, loss_total: 20.1085, loss_in: 0.0130, loss_grad: 0.1986, ssim_loss: 0.1978, eta: 1:00:22, time: 2.7585
INFO train.py(174): step: 210/11500, loss_total: 28.5565, loss_in: 0.0056, loss_grad: 0.1294, ssim_loss: 0.2837, eta: 1:00:09, time: 3.0398
INFO train.py(174): step: 220/11500, loss_total: 27.6636, loss_in: 0.0168, loss_grad: 0.1640, ssim_loss: 0.2733, eta: 1:00:02, time: 3.1107
INFO train.py(174): step: 230/11500, loss_total: 26.9049, loss_in: 0.0129, loss_grad: 0.1543, ssim_loss: 0.2662, eta: 0:59:50, time: 3.0087
INFO train.py(174): step: 240/11500, loss_total: 26.1963, loss_in: 0.0149, loss_grad: 0.1418, ssim_loss: 0.2591, eta: 0:59:39, time: 3.0218
INFO train.py(174): step: 250/11500, loss_total: 33.0897, loss_in: 0.0186, loss_grad: 0.1530, ssim_loss: 0.3275, eta: 0:59:30, time: 3.0639
INFO train.py(174): step: 260/11500, loss_total: 27.4886, loss_in: 0.0095, loss_grad: 0.0996, ssim_loss: 0.2729, eta: 0:59:16, time: 2.9171
INFO train.py(174): step: 270/11500, loss_total: 29.3703, loss_in: 0.0146, loss_grad: 0.1576, ssim_loss: 0.2907, eta: 0:59:05, time: 2.9835
INFO train.py(174): step: 280/11500, loss_total: 28.9396, loss_in: 0.0168, loss_grad: 0.1625, ssim_loss: 0.2861, eta: 0:58:59, time: 3.0701
INFO train.py(174): step: 290/11500, loss_total: 25.3749, loss_in: 0.0341, loss_grad: 0.1784, ssim_loss: 0.2486, eta: 0:58:51, time: 3.0268
INFO train.py(174): step: 300/11500, loss_total: 29.5441, loss_in: 0.0072, loss_grad: 0.1558, ssim_loss: 0.2932, eta: 0:58:46, time: 3.1050
INFO train.py(174): step: 310/11500, loss_total: 35.7143, loss_in: 0.0189, loss_grad: 0.1336, ssim_loss: 0.3539, eta: 0:58:37, time: 2.9798
INFO train.py(174): step: 320/11500, loss_total: 31.6216, loss_in: 0.0229, loss_grad: 0.1701, ssim_loss: 0.3122, eta: 0:58:33, time: 3.1217
INFO train.py(174): step: 330/11500, loss_total: 30.3702, loss_in: 0.0251, loss_grad: 0.1557, ssim_loss: 0.2996, eta: 0:58:27, time: 3.0726
INFO train.py(174): step: 340/11500, loss_total: 32.6539, loss_in: 0.0189, loss_grad: 0.1645, ssim_loss: 0.3230, eta: 0:58:19, time: 2.9782
INFO train.py(174): step: 350/11500, loss_total: 30.3669, loss_in: 0.0147, loss_grad: 0.1642, ssim_loss: 0.3006, eta: 0:58:14, time: 3.0960
INFO train.py(174): step: 360/11500, loss_total: 34.0108, loss_in: 0.0132, loss_grad: 0.1573, ssim_loss: 0.3372, eta: 0:58:07, time: 2.9908
INFO train.py(174): step: 370/11500, loss_total: 28.9897, loss_in: 0.0155, loss_grad: 0.2038, ssim_loss: 0.2863, eta: 0:58:06, time: 3.2187
INFO train.py(174): step: 380/11500, loss_total: 27.0116, loss_in: 0.0143, loss_grad: 0.1820, ssim_loss: 0.2669, eta: 0:58:10, time: 3.3814
INFO train.py(174): step: 390/11500, loss_total: 24.9247, loss_in: 0.0260, loss_grad: 0.2116, ssim_loss: 0.2445, eta: 0:58:14, time: 3.3602
INFO train.py(174): step: 400/11500, loss_total: 30.3988, loss_in: 0.0121, loss_grad: 0.1668, ssim_loss: 0.3011, eta: 0:58:11, time: 3.1514
INFO train.py(174): step: 410/11500, loss_total: 19.8995, loss_in: 0.0276, loss_grad: 0.1609, ssim_loss: 0.1946, eta: 0:58:04, time: 3.0255
INFO train.py(174): step: 420/11500, loss_total: 28.9366, loss_in: 0.0143, loss_grad: 0.1623, ssim_loss: 0.2863, eta: 0:57:59, time: 3.0724
INFO train.py(174): step: 430/11500, loss_total: 31.6293, loss_in: 0.0248, loss_grad: 0.1785, ssim_loss: 0.3120, eta: 0:57:49, time: 2.8608
INFO train.py(174): step: 440/11500, loss_total: 25.1023, loss_in: 0.0179, loss_grad: 0.1322, ssim_loss: 0.2479, eta: 0:57:47, time: 3.1983
INFO train.py(174): step: 450/11500, loss_total: 30.4114, loss_in: 0.0157, loss_grad: 0.1334, ssim_loss: 0.3012, eta: 0:57:37, time: 2.8308
INFO train.py(174): step: 460/11500, loss_total: 24.6369, loss_in: 0.0198, loss_grad: 0.1664, ssim_loss: 0.2427, eta: 0:57:28, time: 2.8758
INFO train.py(174): step: 470/11500, loss_total: 26.0402, loss_in: 0.0201, loss_grad: 0.1631, ssim_loss: 0.2568, eta: 0:57:22, time: 3.0285
INFO train.py(174): step: 480/11500, loss_total: 34.8236, loss_in: 0.0110, loss_grad: 0.1525, ssim_loss: 0.3456, eta: 0:57:17, time: 3.0154
INFO train.py(174): step: 490/11500, loss_total: 27.5537, loss_in: 0.0128, loss_grad: 0.1694, ssim_loss: 0.2726, eta: 0:57:11, time: 3.0141
INFO train.py(174): step: 500/11500, loss_total: 23.8347, loss_in: 0.0303, loss_grad: 0.2159, ssim_loss: 0.2332, eta: 0:57:06, time: 3.0084
INFO train.py(174): step: 510/11500, loss_total: 29.2157, loss_in: 0.0180, loss_grad: 0.1454, ssim_loss: 0.2889, eta: 0:56:57, time: 2.8357
INFO train.py(174): step: 520/11500, loss_total: 31.5155, loss_in: 0.0180, loss_grad: 0.1794, ssim_loss: 0.3116, eta: 0:56:49, time: 2.9192
INFO train.py(174): step: 530/11500, loss_total: 23.2168, loss_in: 0.0128, loss_grad: 0.1491, ssim_loss: 0.2294, eta: 0:56:44, time: 2.9982
INFO train.py(174): step: 540/11500, loss_total: 27.5945, loss_in: 0.0166, loss_grad: 0.1422, ssim_loss: 0.2729, eta: 0:56:39, time: 3.0026
INFO train.py(174): step: 550/11500, loss_total: 27.2123, loss_in: 0.0298, loss_grad: 0.1990, ssim_loss: 0.2671, eta: 0:56:32, time: 2.8925
INFO train.py(174): step: 560/11500, loss_total: 27.2116, loss_in: 0.0194, loss_grad: 0.1891, ssim_loss: 0.2683, eta: 0:56:29, time: 3.1304
INFO train.py(174): step: 570/11500, loss_total: 29.9266, loss_in: 0.0147, loss_grad: 0.1441, ssim_loss: 0.2964, eta: 0:56:23, time: 2.9142
INFO train.py(174): step: 580/11500, loss_total: 33.8340, loss_in: 0.0209, loss_grad: 0.1723, ssim_loss: 0.3345, eta: 0:56:20, time: 3.1060
INFO train.py(174): step: 590/11500, loss_total: 32.4897, loss_in: 0.0247, loss_grad: 0.1800, ssim_loss: 0.3206, eta: 0:56:13, time: 2.8766
INFO train.py(174): step: 600/11500, loss_total: 34.1942, loss_in: 0.0081, loss_grad: 0.1447, ssim_loss: 0.3397, eta: 0:56:10, time: 3.1205
INFO train.py(174): step: 610/11500, loss_total: 24.1580, loss_in: 0.0179, loss_grad: 0.1116, ssim_loss: 0.2387, eta: 0:56:06, time: 3.0395
INFO train.py(174): step: 620/11500, loss_total: 31.3534, loss_in: 0.0231, loss_grad: 0.1498, ssim_loss: 0.3097, eta: 0:56:01, time: 2.9941
INFO train.py(174): step: 630/11500, loss_total: 29.8274, loss_in: 0.0143, loss_grad: 0.1323, ssim_loss: 0.2955, eta: 0:55:57, time: 3.0363
INFO train.py(174): step: 640/11500, loss_total: 16.9875, loss_in: 0.0147, loss_grad: 0.1140, ssim_loss: 0.1673, eta: 0:55:53, time: 3.0309
INFO train.py(174): step: 650/11500, loss_total: 28.1778, loss_in: 0.0349, loss_grad: 0.2091, ssim_loss: 0.2762, eta: 0:55:48, time: 2.9680
