INFO train.py(102): Loaded pst900 model from: model_last/my_cross/fusion_model_pst900.pth
INFO train.py(124): Training Fusion Model start~
INFO train.py(189): step: 10/990, loss_total: 29.2219, loss_in: 0.0937, loss_grad: 0.8719, ssim_loss: 0.2741, eta: 0:11:00, time: 6.7407
INFO train.py(189): step: 20/990, loss_total: 29.8358, loss_in: 0.0871, loss_grad: 0.8633, ssim_loss: 0.2810, eta: 0:08:41, time: 4.0044
INFO train.py(189): step: 30/990, loss_total: 29.3069, loss_in: 0.0886, loss_grad: 0.8259, ssim_loss: 0.2760, eta: 0:07:50, time: 3.9499
INFO train.py(189): step: 40/990, loss_total: 27.4449, loss_in: 0.0845, loss_grad: 0.8031, ssim_loss: 0.2580, eta: 0:07:23, time: 3.9612
INFO train.py(189): step: 50/990, loss_total: 31.2615, loss_in: 0.1083, loss_grad: 0.9885, ssim_loss: 0.2919, eta: 0:07:03, time: 3.8456
INFO train.py(189): step: 60/990, loss_total: 28.4319, loss_in: 0.0942, loss_grad: 0.8600, ssim_loss: 0.2663, eta: 0:06:51, time: 4.0282
INFO train.py(189): step: 70/990, loss_total: 28.4451, loss_in: 0.1233, loss_grad: 0.9885, ssim_loss: 0.2622, eta: 0:06:40, time: 3.9550
INFO train.py(189): step: 80/990, loss_total: 25.8280, loss_in: 0.1014, loss_grad: 0.8665, ssim_loss: 0.2395, eta: 0:06:33, time: 4.1362
INFO train.py(189): step: 90/990, loss_total: 27.6851, loss_in: 0.0939, loss_grad: 0.8590, ssim_loss: 0.2589, eta: 0:06:34, time: 4.8286
INFO train.py(189): step: 100/990, loss_total: 29.4646, loss_in: 0.0967, loss_grad: 0.8588, ssim_loss: 0.2764, eta: 0:06:55, time: 7.2431
INFO train.py(189): step: 110/990, loss_total: 28.7763, loss_in: 0.0904, loss_grad: 0.8348, ssim_loss: 0.2704, eta: 0:07:04, time: 6.3683
INFO train.py(189): step: 120/990, loss_total: 25.6069, loss_in: 0.0822, loss_grad: 0.7499, ssim_loss: 0.2403, eta: 0:07:11, time: 6.4282
INFO train.py(189): step: 130/990, loss_total: 26.9624, loss_in: 0.0782, loss_grad: 0.7241, ssim_loss: 0.2546, eta: 0:07:16, time: 6.4319
INFO train.py(189): step: 140/990, loss_total: 26.7462, loss_in: 0.0957, loss_grad: 0.8412, ssim_loss: 0.2495, eta: 0:07:19, time: 6.4409
INFO train.py(189): step: 150/990, loss_total: 22.3934, loss_in: 0.0673, loss_grad: 0.6101, ssim_loss: 0.2111, eta: 0:07:21, time: 6.4539
INFO train.py(189): step: 160/990, loss_total: 27.8901, loss_in: 0.0826, loss_grad: 0.7968, ssim_loss: 0.2627, eta: 0:07:22, time: 6.4724
INFO train.py(189): step: 170/990, loss_total: 29.3131, loss_in: 0.0657, loss_grad: 0.6500, ssim_loss: 0.2801, eta: 0:07:22, time: 6.5032
INFO train.py(189): step: 180/990, loss_total: 31.0124, loss_in: 0.0855, loss_grad: 0.7746, ssim_loss: 0.2938, eta: 0:07:22, time: 6.4702
INFO train.py(189): step: 190/990, loss_total: 30.0365, loss_in: 0.0729, loss_grad: 0.6602, ssim_loss: 0.2865, eta: 0:07:20, time: 6.4430
INFO train.py(189): step: 200/990, loss_total: 28.9542, loss_in: 0.0975, loss_grad: 0.9253, ssim_loss: 0.2705, eta: 0:07:24, time: 7.7090
INFO train.py(189): step: 210/990, loss_total: 25.0381, loss_in: 0.0627, loss_grad: 0.6219, ssim_loss: 0.2379, eta: 0:07:22, time: 6.8302
INFO train.py(189): step: 220/990, loss_total: 28.7202, loss_in: 0.0675, loss_grad: 0.6063, ssim_loss: 0.2744, eta: 0:07:19, time: 6.4404
INFO train.py(189): step: 230/990, loss_total: 30.1569, loss_in: 0.0784, loss_grad: 0.7525, ssim_loss: 0.2862, eta: 0:07:16, time: 6.4007
INFO train.py(189): step: 240/990, loss_total: 26.2764, loss_in: 0.0769, loss_grad: 0.7343, ssim_loss: 0.2477, eta: 0:07:12, time: 6.3990
INFO train.py(189): step: 250/990, loss_total: 27.3160, loss_in: 0.0827, loss_grad: 0.7955, ssim_loss: 0.2569, eta: 0:07:08, time: 6.4186
INFO train.py(189): step: 260/990, loss_total: 29.2922, loss_in: 0.0727, loss_grad: 0.6552, ssim_loss: 0.2791, eta: 0:07:04, time: 6.4052
INFO train.py(189): step: 270/990, loss_total: 29.3478, loss_in: 0.0817, loss_grad: 0.7395, ssim_loss: 0.2779, eta: 0:07:00, time: 6.3863
INFO train.py(189): step: 280/990, loss_total: 28.4092, loss_in: 0.0537, loss_grad: 0.5707, ssim_loss: 0.2730, eta: 0:06:56, time: 6.3978
