INFO train.py(102): Loaded mfnet model from: model_last/my_cross/fusion_model_mfnet.pth
INFO train.py(124): Training Fusion Model start~
INFO train.py(189): step: 10/2610, loss_total: 27.1766, loss_in: 0.0495, loss_grad: 0.3532, ssim_loss: 0.2633, eta: 1:00:26, time: 13.9479
INFO train.py(189): step: 20/2610, loss_total: 28.3445, loss_in: 0.0535, loss_grad: 0.4542, ssim_loss: 0.2736, eta: 0:42:53, time: 5.9243
INFO train.py(189): step: 30/2610, loss_total: 25.4063, loss_in: 0.0546, loss_grad: 0.4343, ssim_loss: 0.2443, eta: 0:37:41, time: 6.4239
INFO train.py(189): step: 40/2610, loss_total: 27.3065, loss_in: 0.0564, loss_grad: 0.4344, ssim_loss: 0.2631, eta: 0:35:01, time: 6.4088
INFO train.py(189): step: 50/2610, loss_total: 27.6622, loss_in: 0.0716, loss_grad: 0.5429, ssim_loss: 0.2640, eta: 0:33:24, time: 6.4536
INFO train.py(189): step: 60/2610, loss_total: 25.5519, loss_in: 0.0515, loss_grad: 0.4289, ssim_loss: 0.2461, eta: 0:32:18, time: 6.4469
INFO train.py(189): step: 70/2610, loss_total: 26.1411, loss_in: 0.0469, loss_grad: 0.3898, ssim_loss: 0.2528, eta: 0:31:29, time: 6.4602
INFO train.py(189): step: 80/2610, loss_total: 26.8758, loss_in: 0.0490, loss_grad: 0.4093, ssim_loss: 0.2598, eta: 0:30:51, time: 6.4712
INFO train.py(189): step: 90/2610, loss_total: 25.1423, loss_in: 0.0304, loss_grad: 0.2846, ssim_loss: 0.2455, eta: 0:30:21, time: 6.5003
INFO train.py(189): step: 100/2610, loss_total: 25.8093, loss_in: 0.0605, loss_grad: 0.4689, ssim_loss: 0.2474, eta: 0:29:54, time: 6.4502
INFO train.py(189): step: 110/2610, loss_total: 26.3713, loss_in: 0.0457, loss_grad: 0.3857, ssim_loss: 0.2553, eta: 0:29:31, time: 6.4495
INFO train.py(189): step: 120/2610, loss_total: 23.5084, loss_in: 0.0463, loss_grad: 0.3770, ssim_loss: 0.2267, eta: 0:29:16, time: 6.6942
INFO train.py(189): step: 130/2610, loss_total: 21.7845, loss_in: 0.0274, loss_grad: 0.2718, ssim_loss: 0.2124, eta: 0:28:59, time: 6.5624
INFO train.py(189): step: 140/2610, loss_total: 27.6247, loss_in: 0.0525, loss_grad: 0.4468, ssim_loss: 0.2665, eta: 0:28:42, time: 6.4232
INFO train.py(189): step: 150/2610, loss_total: 23.6580, loss_in: 0.0377, loss_grad: 0.3293, ssim_loss: 0.2295, eta: 0:28:25, time: 6.3895
INFO train.py(189): step: 160/2610, loss_total: 26.2472, loss_in: 0.0491, loss_grad: 0.4069, ssim_loss: 0.2535, eta: 0:28:10, time: 6.4089
INFO train.py(189): step: 170/2610, loss_total: 25.5098, loss_in: 0.0483, loss_grad: 0.3749, ssim_loss: 0.2465, eta: 0:27:56, time: 6.4116
INFO train.py(189): step: 180/2610, loss_total: 26.8961, loss_in: 0.0529, loss_grad: 0.4055, ssim_loss: 0.2596, eta: 0:27:43, time: 6.4014
INFO train.py(189): step: 190/2610, loss_total: 27.0136, loss_in: 0.0548, loss_grad: 0.4454, ssim_loss: 0.2602, eta: 0:27:31, time: 6.4000
INFO train.py(189): step: 200/2610, loss_total: 26.8569, loss_in: 0.0547, loss_grad: 0.4399, ssim_loss: 0.2587, eta: 0:27:18, time: 6.3795
INFO train.py(189): step: 210/2610, loss_total: 24.8303, loss_in: 0.0457, loss_grad: 0.3668, ssim_loss: 0.2401, eta: 0:27:07, time: 6.3906
INFO train.py(189): step: 220/2610, loss_total: 25.4093, loss_in: 0.0473, loss_grad: 0.3575, ssim_loss: 0.2458, eta: 0:26:50, time: 5.8870
INFO train.py(189): step: 230/2610, loss_total: 27.3691, loss_in: 0.0721, loss_grad: 0.5332, ssim_loss: 0.2612, eta: 0:26:40, time: 6.3892
INFO train.py(189): step: 240/2610, loss_total: 26.2222, loss_in: 0.0417, loss_grad: 0.3541, ssim_loss: 0.2545, eta: 0:26:30, time: 6.3900
INFO train.py(189): step: 250/2610, loss_total: 27.5477, loss_in: 0.0639, loss_grad: 0.4959, ssim_loss: 0.2641, eta: 0:26:20, time: 6.3960
INFO train.py(189): step: 260/2610, loss_total: 27.1878, loss_in: 0.0668, loss_grad: 0.5243, ssim_loss: 0.2600, eta: 0:26:11, time: 6.3735
INFO train.py(189): step: 270/2610, loss_total: 29.3530, loss_in: 0.0839, loss_grad: 0.6174, ssim_loss: 0.2790, eta: 0:26:08, time: 7.1769
INFO train.py(189): step: 280/2610, loss_total: 26.1726, loss_in: 0.0573, loss_grad: 0.4510, ssim_loss: 0.2515, eta: 0:25:59, time: 6.3831
INFO train.py(189): step: 290/2610, loss_total: 26.2909, loss_in: 0.0538, loss_grad: 0.4213, ssim_loss: 0.2533, eta: 0:25:50, time: 6.3879
INFO train.py(189): step: 300/2610, loss_total: 24.3198, loss_in: 0.0288, loss_grad: 0.2666, ssim_loss: 0.2377, eta: 0:25:41, time: 6.3849
INFO train.py(189): step: 310/2610, loss_total: 26.3973, loss_in: 0.0571, loss_grad: 0.4254, ssim_loss: 0.2540, eta: 0:25:32, time: 6.3948
INFO train.py(189): step: 320/2610, loss_total: 28.3719, loss_in: 0.0693, loss_grad: 0.5159, ssim_loss: 0.2716, eta: 0:25:20, time: 5.8920
INFO train.py(189): step: 330/2610, loss_total: 23.2868, loss_in: 0.0304, loss_grad: 0.2777, ssim_loss: 0.2271, eta: 0:25:12, time: 6.3915
INFO train.py(189): step: 340/2610, loss_total: 26.6344, loss_in: 0.0529, loss_grad: 0.4477, ssim_loss: 0.2566, eta: 0:25:03, time: 6.4061
INFO train.py(189): step: 350/2610, loss_total: 23.2476, loss_in: 0.0294, loss_grad: 0.2754, ssim_loss: 0.2268, eta: 0:24:55, time: 6.3948
INFO train.py(189): step: 360/2610, loss_total: 27.0185, loss_in: 0.0442, loss_grad: 0.3850, ssim_loss: 0.2619, eta: 0:24:47, time: 6.3985
INFO train.py(189): step: 370/2610, loss_total: 23.2997, loss_in: 0.0191, loss_grad: 0.2077, ssim_loss: 0.2290, eta: 0:24:39, time: 6.3953
INFO train.py(189): step: 380/2610, loss_total: 27.4166, loss_in: 0.0503, loss_grad: 0.4030, ssim_loss: 0.2651, eta: 0:24:32, time: 6.4020
INFO train.py(189): step: 390/2610, loss_total: 25.2513, loss_in: 0.0369, loss_grad: 0.3084, ssim_loss: 0.2457, eta: 0:24:24, time: 6.3951
INFO train.py(189): step: 400/2610, loss_total: 22.9252, loss_in: 0.0418, loss_grad: 0.3254, ssim_loss: 0.2218, eta: 0:24:16, time: 6.3946
INFO train.py(189): step: 410/2610, loss_total: 25.5887, loss_in: 0.0478, loss_grad: 0.3810, ssim_loss: 0.2473, eta: 0:24:08, time: 6.4027
INFO train.py(189): step: 420/2610, loss_total: 24.5746, loss_in: 0.0422, loss_grad: 0.3665, ssim_loss: 0.2379, eta: 0:23:58, time: 5.7696
INFO train.py(189): step: 430/2610, loss_total: 26.8479, loss_in: 0.0554, loss_grad: 0.4325, ssim_loss: 0.2586, eta: 0:23:51, time: 6.5303
INFO train.py(189): step: 440/2610, loss_total: 24.1362, loss_in: 0.0405, loss_grad: 0.3231, ssim_loss: 0.2341, eta: 0:23:44, time: 6.5360
INFO train.py(189): step: 450/2610, loss_total: 26.9011, loss_in: 0.0561, loss_grad: 0.4604, ssim_loss: 0.2588, eta: 0:23:38, time: 6.5851
