INFO train.py(102): Loaded acod model from: model_last/my_cross/fusion_model_acod.pth
INFO train.py(124): Training Fusion Model start~
INFO train.py(189): step: 10/30640, loss_total: 22.3599, loss_in: 0.0230, loss_grad: 0.2117, ssim_loss: 0.2192, eta: 5:56:37, time: 6.9859
INFO train.py(189): step: 20/30640, loss_total: 31.2729, loss_in: 0.0264, loss_grad: 0.1851, ssim_loss: 0.3082, eta: 4:36:42, time: 3.8583
INFO train.py(189): step: 30/30640, loss_total: 26.8939, loss_in: 0.0153, loss_grad: 0.1760, ssim_loss: 0.2657, eta: 4:11:50, time: 3.9647
INFO train.py(189): step: 40/30640, loss_total: 28.8787, loss_in: 0.0191, loss_grad: 0.1566, ssim_loss: 0.2853, eta: 3:59:41, time: 3.9902
INFO train.py(189): step: 50/30640, loss_total: 24.8964, loss_in: 0.0163, loss_grad: 0.1603, ssim_loss: 0.2457, eta: 3:52:51, time: 4.0373
INFO train.py(189): step: 60/30640, loss_total: 26.3458, loss_in: 0.0238, loss_grad: 0.1835, ssim_loss: 0.2592, eta: 3:48:21, time: 4.0476
INFO train.py(189): step: 70/30640, loss_total: 23.5595, loss_in: 0.0168, loss_grad: 0.1921, ssim_loss: 0.2320, eta: 3:45:10, time: 4.0529
INFO train.py(189): step: 80/30640, loss_total: 25.2643, loss_in: 0.0196, loss_grad: 0.1572, ssim_loss: 0.2491, eta: 3:41:32, time: 3.8594
INFO train.py(189): step: 90/30640, loss_total: 33.6592, loss_in: 0.0199, loss_grad: 0.1886, ssim_loss: 0.3327, eta: 3:39:50, time: 4.0626
INFO train.py(189): step: 100/30640, loss_total: 22.9941, loss_in: 0.0201, loss_grad: 0.1514, ssim_loss: 0.2264, eta: 3:38:20, time: 4.0359
INFO train.py(189): step: 110/30640, loss_total: 27.3145, loss_in: 0.0229, loss_grad: 0.1834, ssim_loss: 0.2690, eta: 3:37:07, time: 4.0428
INFO train.py(189): step: 120/30640, loss_total: 24.7561, loss_in: 0.0187, loss_grad: 0.1603, ssim_loss: 0.2441, eta: 3:35:58, time: 4.0115
INFO train.py(189): step: 130/30640, loss_total: 25.6608, loss_in: 0.0189, loss_grad: 0.1871, ssim_loss: 0.2528, eta: 3:34:55, time: 3.9981
INFO train.py(189): step: 140/30640, loss_total: 26.0569, loss_in: 0.0190, loss_grad: 0.1821, ssim_loss: 0.2568, eta: 3:34:32, time: 4.1377
INFO train.py(189): step: 150/30640, loss_total: 29.8986, loss_in: 0.0195, loss_grad: 0.1525, ssim_loss: 0.2955, eta: 3:33:58, time: 4.0782
INFO train.py(189): step: 160/30640, loss_total: 27.9485, loss_in: 0.0162, loss_grad: 0.1526, ssim_loss: 0.2763, eta: 3:33:28, time: 4.0754
INFO train.py(189): step: 170/30640, loss_total: 26.8060, loss_in: 0.0228, loss_grad: 0.1922, ssim_loss: 0.2639, eta: 3:33:08, time: 4.1130
INFO train.py(189): step: 180/30640, loss_total: 32.1686, loss_in: 0.0147, loss_grad: 0.1650, ssim_loss: 0.3186, eta: 3:32:48, time: 4.0998
INFO train.py(189): step: 190/30640, loss_total: 26.9227, loss_in: 0.0151, loss_grad: 0.1857, ssim_loss: 0.2659, eta: 3:32:22, time: 4.0611
INFO train.py(189): step: 200/30640, loss_total: 29.0132, loss_in: 0.0201, loss_grad: 0.1847, ssim_loss: 0.2863, eta: 3:32:02, time: 4.0784
INFO train.py(189): step: 210/30640, loss_total: 29.0251, loss_in: 0.0239, loss_grad: 0.1989, ssim_loss: 0.2859, eta: 3:31:26, time: 3.9615
INFO train.py(189): step: 220/30640, loss_total: 22.7576, loss_in: 0.0172, loss_grad: 0.1553, ssim_loss: 0.2243, eta: 3:31:05, time: 4.0478
INFO train.py(189): step: 230/30640, loss_total: 26.6952, loss_in: 0.0152, loss_grad: 0.1546, ssim_loss: 0.2639, eta: 3:32:22, time: 4.7752
INFO train.py(189): step: 240/30640, loss_total: 28.7314, loss_in: 0.0174, loss_grad: 0.1665, ssim_loss: 0.2839, eta: 3:32:20, time: 4.2056
INFO train.py(189): step: 250/30640, loss_total: 30.8405, loss_in: 0.0203, loss_grad: 0.1959, ssim_loss: 0.3044, eta: 3:31:57, time: 4.0340
INFO train.py(189): step: 260/30640, loss_total: 20.9791, loss_in: 0.0155, loss_grad: 0.1519, ssim_loss: 0.2067, eta: 3:31:39, time: 4.0664
INFO train.py(189): step: 270/30640, loss_total: 26.2265, loss_in: 0.0159, loss_grad: 0.1485, ssim_loss: 0.2592, eta: 3:31:16, time: 4.0192
INFO train.py(189): step: 280/30640, loss_total: 29.3011, loss_in: 0.0180, loss_grad: 0.1663, ssim_loss: 0.2896, eta: 3:30:59, time: 4.0562
INFO train.py(189): step: 290/30640, loss_total: 28.4448, loss_in: 0.0258, loss_grad: 0.1720, ssim_loss: 0.2801, eta: 3:30:45, time: 4.0766
INFO train.py(189): step: 300/30640, loss_total: 21.6354, loss_in: 0.0152, loss_grad: 0.1818, ssim_loss: 0.2130, eta: 3:30:32, time: 4.0801
INFO train.py(189): step: 310/30640, loss_total: 28.9050, loss_in: 0.0132, loss_grad: 0.1842, ssim_loss: 0.2859, eta: 3:30:03, time: 3.9085
INFO train.py(189): step: 320/30640, loss_total: 25.6541, loss_in: 0.0190, loss_grad: 0.1922, ssim_loss: 0.2527, eta: 3:29:45, time: 4.0061
INFO train.py(189): step: 330/30640, loss_total: 25.5489, loss_in: 0.0256, loss_grad: 0.2042, ssim_loss: 0.2509, eta: 3:29:30, time: 4.0352
INFO train.py(189): step: 340/30640, loss_total: 33.3611, loss_in: 0.0200, loss_grad: 0.1654, ssim_loss: 0.3300, eta: 3:29:12, time: 3.9922
INFO train.py(189): step: 350/30640, loss_total: 24.0360, loss_in: 0.0152, loss_grad: 0.1651, ssim_loss: 0.2372, eta: 3:28:56, time: 4.0010
INFO train.py(189): step: 360/30640, loss_total: 24.6034, loss_in: 0.0190, loss_grad: 0.1859, ssim_loss: 0.2423, eta: 3:28:37, time: 3.9667
INFO train.py(189): step: 370/30640, loss_total: 32.8216, loss_in: 0.0192, loss_grad: 0.1651, ssim_loss: 0.3246, eta: 3:28:22, time: 4.0009
INFO train.py(189): step: 380/30640, loss_total: 27.5943, loss_in: 0.0219, loss_grad: 0.1551, ssim_loss: 0.2722, eta: 3:28:01, time: 3.9201
INFO train.py(189): step: 390/30640, loss_total: 28.9620, loss_in: 0.0222, loss_grad: 0.1658, ssim_loss: 0.2857, eta: 3:27:45, time: 3.9743
INFO train.py(189): step: 400/30640, loss_total: 29.6815, loss_in: 0.0161, loss_grad: 0.2109, ssim_loss: 0.2931, eta: 3:27:33, time: 4.0071
INFO train.py(189): step: 410/30640, loss_total: 28.0292, loss_in: 0.0200, loss_grad: 0.1742, ssim_loss: 0.2766, eta: 3:27:20, time: 4.0012
INFO train.py(189): step: 420/30640, loss_total: 22.9563, loss_in: 0.0269, loss_grad: 0.1891, ssim_loss: 0.2250, eta: 3:27:11, time: 4.0462
INFO train.py(189): step: 430/30640, loss_total: 22.6204, loss_in: 0.0155, loss_grad: 0.1862, ssim_loss: 0.2228, eta: 3:26:50, time: 3.8696
INFO train.py(189): step: 440/30640, loss_total: 23.3093, loss_in: 0.0183, loss_grad: 0.1785, ssim_loss: 0.2295, eta: 3:26:38, time: 3.9912
INFO train.py(189): step: 450/30640, loss_total: 26.6577, loss_in: 0.0126, loss_grad: 0.1547, ssim_loss: 0.2638, eta: 3:26:20, time: 3.9081
INFO train.py(189): step: 460/30640, loss_total: 25.8772, loss_in: 0.0163, loss_grad: 0.1878, ssim_loss: 0.2553, eta: 3:26:10, time: 4.0124
INFO train.py(189): step: 470/30640, loss_total: 28.2530, loss_in: 0.0204, loss_grad: 0.1790, ssim_loss: 0.2787, eta: 3:26:01, time: 4.0126
INFO train.py(189): step: 480/30640, loss_total: 33.1608, loss_in: 0.0164, loss_grad: 0.1847, ssim_loss: 0.3281, eta: 3:25:48, time: 3.9606
INFO train.py(189): step: 490/30640, loss_total: 24.0923, loss_in: 0.0230, loss_grad: 0.1475, ssim_loss: 0.2371, eta: 3:25:38, time: 3.9987
INFO train.py(189): step: 500/30640, loss_total: 29.9539, loss_in: 0.0185, loss_grad: 0.1689, ssim_loss: 0.2960, eta: 3:25:28, time: 3.9903
INFO train.py(189): step: 510/30640, loss_total: 24.0121, loss_in: 0.0196, loss_grad: 0.1741, ssim_loss: 0.2364, eta: 3:25:21, time: 4.0417
INFO train.py(189): step: 520/30640, loss_total: 33.1294, loss_in: 0.0168, loss_grad: 0.2145, ssim_loss: 0.3275, eta: 3:25:14, time: 4.0436
INFO train.py(189): step: 530/30640, loss_total: 26.1421, loss_in: 0.0158, loss_grad: 0.1600, ssim_loss: 0.2582, eta: 3:24:59, time: 3.8935
INFO train.py(189): step: 540/30640, loss_total: 22.9886, loss_in: 0.0176, loss_grad: 0.1860, ssim_loss: 0.2263, eta: 3:24:47, time: 3.9536
INFO train.py(189): step: 550/30640, loss_total: 27.1600, loss_in: 0.0263, loss_grad: 0.2344, ssim_loss: 0.2666, eta: 3:24:41, time: 4.0452
INFO train.py(189): step: 560/30640, loss_total: 25.4444, loss_in: 0.0294, loss_grad: 0.2225, ssim_loss: 0.2493, eta: 3:24:26, time: 3.8622
INFO train.py(189): step: 570/30640, loss_total: 23.5300, loss_in: 0.0174, loss_grad: 0.1929, ssim_loss: 0.2316, eta: 3:24:16, time: 3.9822
INFO train.py(189): step: 580/30640, loss_total: 27.7367, loss_in: 0.0152, loss_grad: 0.1642, ssim_loss: 0.2742, eta: 3:24:08, time: 4.0015
INFO train.py(189): step: 590/30640, loss_total: 28.1126, loss_in: 0.0200, loss_grad: 0.1772, ssim_loss: 0.2773, eta: 3:24:02, time: 4.0270
INFO train.py(189): step: 600/30640, loss_total: 20.9826, loss_in: 0.0226, loss_grad: 0.1938, ssim_loss: 0.2056, eta: 3:23:57, time: 4.0505
INFO train.py(189): step: 610/30640, loss_total: 21.0229, loss_in: 0.0273, loss_grad: 0.1765, ssim_loss: 0.2057, eta: 3:23:51, time: 4.0483
INFO train.py(189): step: 620/30640, loss_total: 25.5080, loss_in: 0.0265, loss_grad: 0.1766, ssim_loss: 0.2507, eta: 3:23:38, time: 3.8824
INFO train.py(189): step: 630/30640, loss_total: 29.5134, loss_in: 0.0223, loss_grad: 0.1608, ssim_loss: 0.2913, eta: 3:23:30, time: 3.9828
INFO train.py(189): step: 640/30640, loss_total: 29.9896, loss_in: 0.0238, loss_grad: 0.1854, ssim_loss: 0.2957, eta: 3:23:23, time: 4.0144
INFO train.py(189): step: 650/30640, loss_total: 27.3341, loss_in: 0.0179, loss_grad: 0.1601, ssim_loss: 0.2700, eta: 3:23:10, time: 3.8796
INFO train.py(189): step: 660/30640, loss_total: 24.5351, loss_in: 0.0192, loss_grad: 0.1605, ssim_loss: 0.2418, eta: 3:23:04, time: 4.0151
INFO train.py(189): step: 670/30640, loss_total: 29.7242, loss_in: 0.0203, loss_grad: 0.1779, ssim_loss: 0.2934, eta: 3:22:57, time: 3.9998
INFO train.py(189): step: 680/30640, loss_total: 24.5694, loss_in: 0.0170, loss_grad: 0.1614, ssim_loss: 0.2424, eta: 3:22:49, time: 3.9807
INFO train.py(189): step: 690/30640, loss_total: 26.2345, loss_in: 0.0274, loss_grad: 0.1701, ssim_loss: 0.2579, eta: 3:22:43, time: 4.0108
INFO train.py(189): step: 700/30640, loss_total: 24.5446, loss_in: 0.0244, loss_grad: 0.1794, ssim_loss: 0.2412, eta: 3:22:37, time: 4.0068
INFO train.py(189): step: 710/30640, loss_total: 21.8016, loss_in: 0.0167, loss_grad: 0.1527, ssim_loss: 0.2148, eta: 3:22:31, time: 4.0089
INFO train.py(189): step: 720/30640, loss_total: 21.9199, loss_in: 0.0201, loss_grad: 0.1825, ssim_loss: 0.2154, eta: 3:22:24, time: 3.9934
INFO train.py(189): step: 730/30640, loss_total: 24.2997, loss_in: 0.0163, loss_grad: 0.1731, ssim_loss: 0.2396, eta: 3:22:12, time: 3.8830
INFO train.py(189): step: 740/30640, loss_total: 26.4896, loss_in: 0.0228, loss_grad: 0.2228, ssim_loss: 0.2604, eta: 3:22:05, time: 3.9656
